Year,Country,ISO,Disaster Type,Disaster Subtype,Location,Total Deaths,No. Injured,No. Homeless,Total Affected
2001,India,IND,Flood,Riverine flood,"Marshagal, Mahakalpada villages (Kendrapara district, Orissa province), Kakatpur, Astaranga, Kanas, Delanga villages (Puri district, Orissa province), Banki, Kantapada villages (Cuttack district, Orissa province), Balipatna villages (Khordha district, Orissa province), Atharmalik villages (Angul district, Orissa province), Jajpur, Jagatsinghpur, Kalahandi, Koraput, Bolangir, Nayagarh, Baleshwar, Bhadrak districts (Orissa province), Dhamtari, Raipur, Mahasamund, Janjgir-Champa, Raigarh districts (Chhattisgarh province)",100.0,,9670000.0,9670000.0
2001,India,IND,Flood,Flood (General),"Hosdurg borough (Kanhangad city, Kasaragod district, Kerala province), Vertak Nagar area (Thane district, Maharashtra province), Bhandup area (Mumbai Suburban district, Maharashtra province)",28.0,4.0,,4.0
2001,India,IND,Flood,Riverine flood,"Idukki, Kottayam, Pattanamtitta, Kollam, Alappuzha districts (Kerala province)",86.0,,40000.0,40000.0
2001,India,IND,Flood,Riverine flood,"Aurangabad, Bhojpur, Gopalganj, Jehanabad, Muzaffarpur, Nalanda, Pashchim Champaran, Patna, Purba Champaran, Rohtas, Saran, Sitamarhi, Siwan, Vaishali districts (Bihar province)",,,400000.0,400000.0
2001,India,IND,Flood,Flood (General),Delhi province,10.0,36.0,,36.0
2001,India,IND,Flood,Flood (General),"Gopalganj, Purba Champaran, Pashchim Champaran, Muzaffarpur, Vaishali, Saran districts (Bihar province)",158.0,,7000000.0,7000000.0
2001,India,IND,Flood,Flash flood,"Saran, Gopalganj, Purba Champaran, Madhubani districts (Bihar province), Uttar Pradesh province",48.0,,2800000.0,2800000.0
2001,India,IND,Flood,Flood (General),"Saran, Gopalganj districts (Bihar province)",146.0,,,
2002,India,IND,Flood,Riverine flood,"Barpeta, Bongaigaon, Cachar, Darrang, Dhemaji, Dhuburi, Dibrugarh, Goalpara, Golaghat, Jorhat, Kamrup, Karimganj, Kokrajhar, Lakhimpur, Marigaon, Nagaon, Nalbari, Sibsagar, Sonitpur, Tinsukia districts (Assam province), Araria, Begusarai, Bhagalpur, Darbhanga, Gopalganj, Katihar, Khagaria, Kishanganj, Madhepura, Madhubani, Muzaffarpur, Nalanda, Pashchim Champaran, Patna, Pruba Champaran, Purnia, Saharsa, Samastipur, Saran, Sheikhpura, Sheohar, Sitamarhi, Siwan, Supaul districts (Bihar province), Lahul and Spiti district (Himachal Pradesh province), Balaghat district (Madhya Pradesh province), Tehri Garhwal district (Uttarakhand province), Adilabad, Khammam, Karimnagar districts (Andhra Pradesh province), Jalpaiguri, Kochbihar, Darjiling districts (West Bengal province), Meghalaya, Tripura, Arunachal Pradesh, Gujarat, Kerala, Manipur, Maharashrta provinces",549.0,,42000000.0,42000000.0
2002,India,IND,Flood,Riverine flood,"Tehri Garhwal district (Uttaranchal province), Bihar, Assam, Manipur provinces",33.0,50.0,,50.0
2002,India,IND,Flood,Riverine flood,Balaghat district (Madhya Pradesh province),100.0,,3000.0,3000.0
2002,India,IND,Flood,Riverine flood,"Bharuch district (Gujarat province), Jalgaon, Nasik districts (Maharashtra province)",22.0,,5000.0,5000.0
2002,India,IND,Flood,Riverine flood,"Kannur, Kasaragod, Kozhikode, Malappuram, Thiruvananthapuram districts (Kerala province)",11.0,,,
2002,India,IND,Flood,Flood (General),"Chennai, Coimbatore, Cuddalore districts (Tamil Nadu province",20.0,,200.0,200.0
2003,India,IND,Flood,Riverine flood,"Assam, Bihar, Tripura, West Bengal provinces",142.0,,4550000.0,4550000.0
2003,India,IND,Flood,Riverine flood,"Khavda, Banni, Natkharana, Lakhpat villages (Kachchh district, Gujarat province)",13.0,,10000.0,14500.0
2003,India,IND,Flood,Riverine flood,"Cuttack, Jagatsinghpur, Kendrapara, Jajpur, Puri, Bolangir, Sonepur, Kalahandi, Rayagada, Gajapati, Baragarh, Koraput, Nayagarh, Ganjam, Angul districts (Orissa province)",67.0,,3000000.0,3000000.0
2003,India,IND,Flood,Flash flood,Kullu district (Himachal Pradesh province),150.0,30.0,,30.0
2003,India,IND,Flood,Flash flood,"Solang village (Kullu district, Himachal Pradesh)",43.0,15.0,,15.0
2003,India,IND,Flood,Riverine flood,Uttar Pradesh province,37.0,,,
2004,India,IND,Flood,Riverine flood,"Leimapokpam, Thiyam, Lourembam, Nambol Laitonjam villages (Bishnupur district, Manipur province), Na-Orem, Pukhrambam, Sanjenbam villages (West Imphal district, Manipur province), Oinam, Khangabok villages (Thoubal district, Manipur province)",,,,5000.0
2004,India,IND,Flood,Riverine flood,"Darbhanga, Madhubani, Sitamarhi, Banka, Bhagalpur, Muzaffarpur, Sheohar districts (Bihar province), West Tripura, South Tripura districts (Tripura province), Kamrup, Nalbari, Darrang, Sonitpur, Dhemaji, Lakhimpur districts (Assam province), Gujarat, Jammu and Kashmir provinces",900.0,,33000000.0,33000000.0
2004,India,IND,Flood,Riverine flood,"Wayanad, Kozhikode, Kannur, Kasaragod districts (Kerala province)",45.0,,1000.0,1000.0
2004,India,IND,Flood,Flash flood,"Uttar Pradesh, Himachal Pradesh provinces",33.0,,,
2004,India,IND,Flood,Flash flood,"Goalpara district (Assam province), Meghalaya, Arunachal Pradesh, West Bengal provinces",160.0,,,100000.0
2004,India,IND,Flood,Riverine flood,"Uttarakhand, Gujarat, Maharashtra, Punjab, Haryana, Rajasthan provinces",210.0,,100000.0,100000.0
2005,India,IND,Flood,Riverine flood,Mokokchung district (Nagaland province),14.0,12.0,,12.0
2005,India,IND,Flood,Riverine flood,"Surat, Valsad, Navsari, Bharuch, Vadodara, Surendranagar, The Dangs, Ahmedabad, Anand, Kheda, Amreli, Bhavnagar, Junagadh, Rajkot, Narmada, Jamnagar, Gandhinagar, Sabarkantha districts (Gujarat province)",239.0,,405000.0,405000.0
2005,India,IND,Flood,Riverine flood,"Digras, Nandgavan villages (Yavatmal district, Maharashtra province)",25.0,,,
2005,India,IND,Flood,Riverine flood,"Sangla, Kalpa, Yangthang, Sumdo, Khab, Karcham, Leo, Akpa, Kharo villages (Kinnaur district, Himachal Pradesh province), Rampur Bushahr village (Shimla district, Himachal Pradesh province), Kullu, Bilaspur, Mandi districts (Himachal Pradesh)",6.0,,5000.0,5000.0
